cod_ibge,municipio,regional_idr,reg_idr_nome,meso_idr,ano,vbp_reais,producao_ton,area_ha
4100103,Abatiá,13,Cornélio Procópio,Norte,2012,51837295,124220,15466
4100202,Adrianópolis,02,Curitiba,Metropolitana e Litoral,2012,101266326,80684,35862
4100301,Agudos do Sul,02,Curitiba,Metropolitana e Litoral,2012,67884636,59030,13874
4100400,Almirante Tamandaré,02,Curitiba,Metropolitana e Litoral,2012,44415502,37953,3817
4100459,Altamira do Paraná,19,Campo Mourão,Oeste,2012,35414013,24016,2068
4100509,Altônia,09,Umuarama,Noroeste,2012,94756614,152282,8118
4100608,Alto Paraná,10,Paranavaí,Noroeste,2012,115394505,400183,9244
4100707,Alto Piquiri,09,Umuarama,Noroeste,2012,101944848,444748,44971
4100806,Alvorada do Sul,12,Londrina,Norte,2012,114786699,189389,41018
4100905,Amaporã,10,Paranavaí,Noroeste,2012,64283551,414924,8966
4101002,Ampére,16,Francisco Beltrão,Sudoeste,2012,133855522,176883,15534
4101051,Anahy,17,Cascavel,Oeste,2012,80598312,170980,13854
4101101,Andirá,13,Cornélio Procópio,Norte,2012,100486282,544285,31355
4101150,Ângulo,11,Maringá,Noroeste,2012,68058036,68364,12109
4101200,Antonina,01,Paranaguá,Metropolitana e Litoral,2012,13633325,14639,912
4101309,Antônio Olinto,03,União da Vitória,Centro Sul,2012,143156868,193470,30864
4101408,Apucarana,20,Apucarana,Norte,2012,202132051,173553,39403
4101507,Arapongas,20,Apucarana,Norte,2012,201865536,225134,38997
4101606,Arapoti,04,Ponta Grossa,Centro Sul,2012,339616870,501665,87772
4101655,Arapuã,06,Ivaiporã,Norte,2012,79294108,138845,25811
4101705,Araruna,19,Campo Mourão,Oeste,2012,170462266,304092,44697
4101804,Araucária,02,Curitiba,Metropolitana e Litoral,2012,173410962,302969,28455
4101853,Ariranha do Ivaí,06,Ivaiporã,Norte,2012,62240305,107149,19203
4101903,Assaí,13,Cornélio Procópio,Norte,2012,128829778,240662,48942
4102000,Assis Chateaubriand,18,Toledo,Oeste,2012,450034216,668513,149604
4102109,Astorga,11,Maringá,Noroeste,2012,226222204,543232,42662
4102208,Atalaia,11,Maringá,Noroeste,2012,58590470,198717,11823
4102307,Balsa Nova,02,Curitiba,Metropolitana e Litoral,2012,66741356,91058,17645
4102406,Bandeirantes,13,Cornélio Procópio,Norte,2012,141727424,896824,37569
4102505,Barbosa Ferraz,19,Campo Mourão,Oeste,2012,89283695,150525,25102
4102604,Barracão,16,Francisco Beltrão,Sudoeste,2012,71147533,139518,8041
4102703,Barra do Jacaré,14,Santo Antonio da Platina,Norte,2012,86843018,401819,16114
4102752,Bela Vista da Caroba,16,Francisco Beltrão,Sudoeste,2012,47737621,95249,8626
4102802,Bela Vista do Paraíso,12,Londrina,Norte,2012,83779155,143446,32008
4102901,Bituruna,03,União da Vitória,Centro Sul,2012,147880590,385329,29538
4103008,Boa Esperança,19,Campo Mourão,Oeste,2012,101957561,183439,51439
4103024,Boa Esperança do Iguaçu,23,Dois Vizinhos,Sudoeste,2012,64584624,81533,6737
4103040,Boa Ventura de São Roque,05,Pitanga,Centro,2012,79988669,121470,25889
4103057,Boa Vista da Aparecida,17,Cascavel,Oeste,2012,71034279,121418,7451
4103107,Bocaiúva do Sul,02,Curitiba,Metropolitana e Litoral,2012,83914925,51107,25484
4103156,Bom Jesus do Sul,16,Francisco Beltrão,Sudoeste,2012,58725731,116549,9825
4103206,Bom Sucesso,20,Apucarana,Norte,2012,96563093,795684,13512
4103222,Bom Sucesso do Sul,15,Pato Branco,Sudoeste,2012,114888838,139621,27216
4103305,Borrazópolis,06,Ivaiporã,Norte,2012,76659852,98711,26127
4103354,Braganey,17,Cascavel,Oeste,2012,110532171,200077,34965
4103370,Brasilândia do Sul,09,Umuarama,Noroeste,2012,76849976,158705,37485
4103404,Cafeara,12,Londrina,Norte,2012,52728532,527803,9216
4103453,Cafelândia,17,Cascavel,Oeste,2012,305246934,306570,49261
4103479,Cafezal do Sul,09,Umuarama,Noroeste,2012,58487886,298322,10140
4103503,Califórnia,20,Apucarana,Norte,2012,68182017,59233,11816
4103602,Cambará,14,Santo Antonio da Platina,Norte,2012,159267066,1597532,46032
4103701,Cambé,12,Londrina,Norte,2012,197930411,320232,69548
4103800,Cambira,20,Apucarana,Norte,2012,69923981,104571,12623
4103909,Campina da Lagoa,19,Campo Mourão,Oeste,2012,191283988,267900,60029
4103958,Campina do Simão,05,Guarapuava,Centro,2012,84446223,111960,20643
4104006,Campina Grande do Sul,02,Curitiba,Metropolitana e Litoral,2012,21621596,18882,3955
4104055,Campo Bonito,17,Cascavel,Oeste,2012,150432204,344508,37989
4104105,Campo do Tenente,02,Curitiba,Metropolitana e Litoral,2012,104151946,88167,25036
4104204,Campo Largo,02,Curitiba,Metropolitana e Litoral,2012,134178813,189034,33736
4104253,Campo Magro,02,Curitiba,Metropolitana e Litoral,2012,44354803,56976,6638
4104303,Campo Mourão,19,Campo Mourão,Oeste,2012,258829028,377987,97698
4104402,Cândido de Abreu,06,Pitanga,Centro,2012,160106000,193430,49112
4104428,Candói,05,Guarapuava,Centro,2012,245964795,392597,79460
4104451,Cantagalo,05,Guarapuava,Centro,2012,84614315,128820,28949
4104501,Capanema,16,Francisco Beltrão,Sudoeste,2012,209236115,298088,36563
4104600,Capitão Leônidas Marques,17,Cascavel,Oeste,2012,153156691,289363,20627
4104659,Carambeí,04,Ponta Grossa,Centro Sul,2012,390570073,940839,62938
4104709,Carlópolis,14,Santo Antonio da Platina,Norte,2012,147192311,114212,13532
4104808,Cascavel,17,Cascavel,Oeste,2012,883639566,1185220,148690
4104907,Castro,04,Ponta Grossa,Centro Sul,2012,1127491215,1851022,192102
4105003,Catanduvas,17,Cascavel,Oeste,2012,235545132,515404,37495
4105102,Centenário do Sul,12,Londrina,Norte,2012,100681220,684460,20964
4105201,Cerro Azul,02,Curitiba,Metropolitana e Litoral,2012,214705108,239674,56030
4105300,Céu Azul,17,Cascavel,Oeste,2012,221578535,349747,47947
4105409,Chopinzinho,15,Pato Branco,Sudoeste,2012,205090837,483076,47075
4105508,Cianorte,22,Cianorte,Noroeste,2012,347739508,1012872,37969
4105607,Cidade Gaúcha,22,Cianorte,Noroeste,2012,72974494,552568,10610
4105706,Clevelândia,15,Pato Branco,Sudoeste,2012,124586151,256057,47696
4105805,Colombo,02,Curitiba,Metropolitana e Litoral,2012,207765541,132308,6283
4105904,Colorado,11,Maringá,Noroeste,2012,111596088,1415422,18742
4106001,Congonhinhas,13,Cornélio Procópio,Norte,2012,84998282,338951,28689
4106100,Conselheiro Mairinck,14,Santo Antonio da Platina,Norte,2012,60127870,96422,8447
4106209,Contenda,02,Curitiba,Metropolitana e Litoral,2012,92794515,165500,16340
4106308,Corbélia,17,Cascavel,Oeste,2012,327034259,489243,85856
4106407,Cornélio Procópio,13,Cornélio Procópio,Norte,2012,151112201,433382,59470
4106456,Coronel Domingos Soares,15,Pato Branco,Sudoeste,2012,100334480,298569,37458
4106506,Coronel Vivida,15,Pato Branco,Sudoeste,2012,129247914,243556,41907
4106555,Corumbataí do Sul,19,Campo Mourão,Oeste,2012,36479074,28035,6100
